,appId,fraudulent,bugs,authentication,security,usability,ads_tracker,cust_support,total_negative,total,pct_negative,pct_fraud,pct_bugs,pct_auth,pct_sec,pct_usa,pct_ads,pct_cust
166,com.koinstrap.koinstrap,1,0,3,0,0,0,0,5,7,71.43,20.0,0.0,60.0,0.0,0.0,0.0,0.0
167,com.kr.iotrust.dcent.wallet,3,1,0,0,1,0,1,12,92,13.04,25.0,8.33,0.0,0.0,8.33,0.0,8.33
168,com.krypto,36,10,15,1,13,1,3,139,926,15.01,25.9,7.19,10.79,0.72,9.35,0.72,2.16
169,com.kubi.kucoin,225,228,168,73,72,4,117,945,2225,42.47,23.81,24.13,17.78,7.72,7.62,0.42,12.38
170,com.latoken.wallet,155,71,87,17,105,1,61,822,6138,13.39,18.86,8.64,10.58,2.07,12.77,0.12,7.42
171,com.legendwd.hyperpayW,12,5,11,2,2,0,8,46,444,10.36,26.09,10.87,23.91,4.35,4.35,0.0,17.39
172,com.liberty.jaxx,90,91,17,20,19,1,56,397,1234,32.17,22.67,22.92,4.28,5.04,4.79,0.25,14.11
173,com.lightning.walletapp,3,2,0,0,2,0,2,21,130,16.15,14.29,9.52,0.0,0.0,9.52,0.0,9.52
174,com.lingxi.bexplus,15,2,5,2,2,0,0,29,1654,1.75,51.72,6.9,17.24,6.9,6.9,0.0,0.0
175,com.litecoinplus.androidwallet,0,0,1,0,0,0,0,2,5,40.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0
176,com.loafwallet,29,38,12,3,7,3,7,195,454,42.95,14.87,19.49,6.15,1.54,3.59,1.54,3.59
177,com.lobstr.client,62,28,47,6,21,2,23,237,1309,18.11,26.16,11.81,19.83,2.53,8.86,0.84,9.7
178,com.lumicollect.android,0,0,0,0,0,0,0,3,29,10.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,com.lumiwallet.android,46,10,20,2,8,2,8,158,694,22.77,29.11,6.33,12.66,1.27,5.06,1.27,5.06
180,com.luneswallet,0,0,1,0,0,0,1,5,15,33.33,0.0,0.0,20.0,0.0,0.0,0.0,20.0
181,com.magnum.wallet,0,2,1,0,0,0,1,17,90,18.89,0.0,11.76,5.88,0.0,0.0,0.0,5.88
182,com.maicoin.max,0,0,1,0,0,0,0,4,19,21.05,0.0,0.0,25.0,0.0,0.0,0.0,0.0
183,com.matrixport.mark,3,0,3,1,0,0,1,12,41,29.27,25.0,0.0,25.0,8.33,0.0,0.0,8.33
184,com.maxxwallet,0,0,0,0,0,0,0,1,1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,com.medishares.android,26,27,12,2,11,1,14,120,339,35.4,21.67,22.5,10.0,1.67,9.17,0.83,11.67
186,com.mercuryo.app,51,11,27,3,9,0,14,106,457,23.19,48.11,10.38,25.47,2.83,8.49,0.0,13.21
