app_name,anti_vm,obfuscator,anti_debug,anti_disassembly,manipulator,packer
net.coinpayments.coinpaymentsapp,True,False,False,False,False,False
com.ownrwallet.wallet,True,True,True,False,False,False
one.mixin.messenger,True,False,True,False,False,False
org.electrum.electrum,True,False,False,False,False,False
com.latoken.wallet,True,False,True,False,False,False
com.savl,True,True,False,False,False,False
app.bankowallet.android,True,False,True,True,False,False
bitmesh.volt.wallet,True,True,False,False,False,False
com.ccwalletapp,True,False,True,False,False,False
com.coincorner.app.crypt,True,False,False,False,False,False
com.pint.app,True,False,True,False,False,False
com.defi.wallet,True,True,True,False,False,False
com.bitzapp,True,False,False,False,False,False
blackdollar.bdlr.token.coin,True,False,False,False,False,False
com.inigma.wallet,True,False,False,False,False,False
com.mycelium.wallet,True,False,False,False,False,False
com.stasis.stasiswallet,True,False,True,False,False,False
com.blockchain.bitcoin.wallet,True,False,True,False,False,False
com.bitcoin.wallet.btc,True,False,True,False,False,False
com.ptpwallet,True,False,False,False,False,False
com.blockchain.wallet.btc,True,False,True,False,False,False
org.toshi,True,True,True,False,False,False
com.silenca.amlsafe,True,False,True,False,False,False
com.zipwallet.app,True,False,True,False,False,False
com.paxful.wallet,True,False,True,False,False,False
com.paymintlabs.paymint,True,False,False,False,False,False
com.breadwallet,True,False,True,False,False,False
com.bitcoinblack.wallet,True,False,False,False,False,False
com.ninjacoin,True,False,True,False,False,False
com.signkeys.wallet.portfolio,True,False,True,False,False,False
org.bitcoinox.bitcoinoxwallet,False,False,False,False,False,False
com.Android.Inc.bitwallet,True,False,True,False,False,False
org.guapcoin.multiwallet,True,False,False,False,False,False
com.androidwallet,True,False,True,False,False,False
com.coinfalcon.mobile,True,True,True,False,False,False
com.ripio.android,True,True,True,False,False,False
co.bacoor.keyring,True,False,False,False,False,False
com.bitnovo.app,True,True,False,False,False,False
com.mercuryo.app,True,True,True,False,False,False
kr.co.keypair.keywalletTouch,True,False,False,False,False,False
com.lobstr.client,True,False,True,False,False,False
io.rapids.network.wallet,True,False,False,False,False,False
com.ethlimited,True,False,False,False,False,False
com.t7.wether,True,False,True,False,False,False
com.qcan.mobile.bitcoin.wallet,True,False,True,False,False,False
co.satoshiwallet.app,True,False,True,False,False,False
com.bit.btcwallet,False,False,False,False,False,False
io.safepal.wallet,True,False,False,False,False,False
com.b4uwallet.android,True,False,True,False,False,False
com.kesemwalletapp,True,False,True,False,False,False
com.kr.iotrust.dcent.wallet,True,False,True,False,False,False
exchange.einstein.mobile.release,True,False,False,False,False,False
com.XcelTrip.XcelPay,True,False,True,False,False,False
com.enjin.mobile.wallet,True,False,True,False,False,False
tw.org.freewallet.app,True,False,True,False,False,False
com.getchange.wallet.cordova,True,False,False,False,False,False
com.wallet.crypto.trustapp,True,False,True,False,False,False
com.fox.one,True,False,False,False,False,False
com.dowallet,True,True,True,False,False,False
com.crypto.multiwallet,True,False,True,False,False,False
org.topnetwork.hiwallet,True,False,True,False,False,False
etherio.wallet.com,True,False,True,False,False,False
com.coinbase.android,True,False,True,False,False,False
fr.acinq.phoenix.mainnet,True,False,False,False,False,False
org.coinid.wallet.tbtc,True,False,True,False,False,False
org.coinid.wallet.tgrs,True,False,True,False,False,False
org.coinid.wallet.btc,True,False,True,False,False,False
org.coinid.wallet.grs,True,False,True,False,False,False
org.coinid.wallet.xmy,True,False,True,False,False,False
com.eofinance,True,True,False,False,False,False
org.electroncash.wallet,True,False,True,False,False,False
cash.klever.blockchain.wallet,True,False,True,False,False,False
io.goldwallet.wallet,True,False,True,False,False,False
it.inbitcoin.altana,True,False,False,False,False,False
com.top1.group.international.android,False,True,False,False,False,True
com.bitrue.currency.exchange,True,False,True,False,False,False
com.xcoex.mobile,True,True,True,False,False,False
jp.coincheck.android,True,True,True,False,False,False
com.counos,True,False,False,False,False,False
ceyronmoney.ceyronwallet.ceyroncryptowallet.ceyrontoken.ceytoken.ceycoin,True,False,False,False,False,False
com.atomex.android,True,False,False,False,False,False
com.raido_wallet,True,True,True,False,False,False
