app_id,lib_name,lib_type,TargetedAds,MobileAnalytics,Analytics,AnyTrackingLibrary
com.wrx.wazirx,Google Ads,Targeted ads,True,False,False,True
com.wswap.wallet,Fasterxml,Utility,False,False,False,False
com.wswap.wallet,Github,Utility,False,False,False,False
com.wswap.wallet,Bumptech,Utility,False,False,False,False
com.wswap.wallet,Google Ads,Targeted ads,True,False,False,True
com.wswap.wallet,Kenai,Development aid,False,False,False,False
com.wswap.wallet,Squareup,Payment,False,False,False,False
com.wswap.wallet,Mixpanel,Mobile analytics,False,True,False,True
com.xbond.exchange,Github,Utility,False,False,False,False
com.xbond.exchange,Intuit,Payment,False,False,False,False
com.xbond.exchange,Squareup,Payment,False,False,False,False
com.xbond.exchange,Loopj,Utility,False,False,False,False
com.xbond.exchange,Bumptech,Utility,False,False,False,False
com.xbond.exchange,Google Ads,Targeted ads,True,False,False,True
com.yamishibai.easycryptowallet123,Google Ads,Targeted ads,True,False,False,True
com.zenafinance,Facebook,Social networking service,False,False,False,False
crypto.cc.atc,Loopj,Utility,False,False,False,False
crypto.cc.atc,Google Ads,Targeted ads,True,False,False,True
crypto.cc.atc,Google Analytics,Mobile analytics,False,True,False,True
de.schildbach.wallet,Squareup,Payment,False,False,False,False
i.brains.pandax,Github,Utility,False,False,False,False
i.brains.pandax,Facebook,Social networking service,False,False,False,False
i.brains.pandax,Appsflyer,Targeted ads,True,False,False,True
i.brains.pandax,Bumptech,Utility,False,False,False,False
i.brains.pandax,Google Ads,Targeted ads,True,False,False,True
i.brains.pandax,Jakewharton,Ui component,False,False,False,False
i.brains.pandax,Squareup,Payment,False,False,False,False
io.bincap.exchange,Fasterxml,Utility,False,False,False,False
io.bincap.exchange,Github,Utility,False,False,False,False
io.bincap.exchange,Crashlytics,Utilities,False,False,False,False
io.bincap.exchange,Squareup,Payment,False,False,False,False
io.bincap.exchange,Google Ads,Targeted ads,True,False,False,True
io.bincap.exchange,Google Analytics,Mobile analytics,False,True,False,True
io.bolt.mibwallet,Kenai,Development aid,False,False,False,False
io.bolt.mibwallet,Fasterxml,Utility,False,False,False,False
io.bolt.mibwallet,Github,Utility,False,False,False,False
io.bolt.mibwallet,Crashlytics,Utilities,False,False,False,False
io.bolt.mibwallet,Facebook,Social networking service,False,False,False,False
io.bolt.mibwallet,Google Ads,Targeted ads,True,False,False,True
io.cex.app.prod,Github,Utility,False,False,False,False
io.cex.app.prod,Facebook,Social networking service,False,False,False,False
io.cex.app.prod,Bumptech,Utility,False,False,False,False
io.cex.app.prod,Google Ads,Targeted ads,True,False,False,True
io.cex.app.prod,Google Analytics,Mobile analytics,False,True,False,True
io.cex.app.prod,Intuit,Payment,False,False,False,False
io.cex.app.prod,Squareup,Payment,False,False,False,False
io.cex.app.prod,Mixpanel,Mobile analytics,False,True,False,True
io.cex.app.prod,Twitter,Social networking service,False,False,False,False
io.exaking.starter,Phonegap,Utility,False,False,False,False
io.exaking.starter,Google Ads,Targeted ads,True,False,False,True
io.kriptomat.app,adjust,Mobile analytics,False,True,False,True
io.kriptomat.app,Facebook,Social networking service,False,False,False,False
io.kriptomat.app,Google Ads,Targeted ads,True,False,False,True
io.kriptomat.app,Squareup,Payment,False,False,False,False
io.metamask,Mixpanel,Mobile analytics,False,True,False,True
io.metamask,Facebook,Social networking service,False,False,False,False
io.metamask,Adobe,Utility,False,False,False,False
io.nash.app,Github,Utility,False,False,False,False
io.nash.app,Facebook,Social networking service,False,False,False,False
io.nash.app,Adobe,Utility,False,False,False,False
io.nash.app,Bumptech,Utility,False,False,False,False
io.nash.app,Google Ads,Targeted ads,True,False,False,True
io.nash.app,Google Analytics,Mobile analytics,False,True,False,True
io.nash.app,Mixpanel,Mobile analytics,False,True,False,True
io.rscoins.network,Facebook,Social networking service,False,False,False,False
io.rscoins.network,Bumptech,Utility,False,False,False,False
io.rscoins.network,Google Ads,Targeted ads,True,False,False,True
io.rscoins.network,Google Analytics,Mobile analytics,False,True,False,True
io.uun.clet,Github,Utility,False,False,False,False
io.uun.clet,Crashlytics,Utilities,False,False,False,False
io.uun.clet,Facebook,Social networking service,False,False,False,False
io.uun.clet,Loopj,Utility,False,False,False,False
io.uun.clet,Bumptech,Utility,False,False,False,False
io.uun.clet,Google Ads,Targeted ads,True,False,False,True
io.uun.clet,Google Analytics,Mobile analytics,False,True,False,True
io.wallet,Umeng,Mobile analytics,False,True,False,True
io.wallet,Github,Utility,False,False,False,False
io.wallet,Facebook,Social networking service,False,False,False,False
io.wallet,Tencent,Targeted ads,True,False,False,True
io.wallet,Bumptech,Utility,False,False,False,False
latoken.kucoin.trustapp.zebpay.coinmarketcap.coindcx,Squareup,Payment,False,False,False,False
