file_name,signature,key_length
com.top1.group.international.android.apk, SHA256 + RSA, 2048-bit RSA key
com.bitrue.currency.exchange.apk, SHA256 + RSA, 4096-bit RSA key
com.xcoex.mobile.apk, SHA256 + RSA, 2048-bit RSA key
jp.coincheck.android.apk, SHA1 + RSA (weak), 1024-bit RSA key (weak)
com.counos.apk, SHA256 + RSA, 4096-bit RSA key
ceyronmoney.ceyronwallet.ceyroncryptowallet.ceyrontoken.ceytoken.ceycoin.apk, SHA256 + RSA, 4096-bit RSA key
com.atomex.android.apk, SHA256 + RSA, 4096-bit RSA key
com.raido_wallet.apk, SHA256 + RSA, 4096-bit RSA key
com.bitcoinofamerica.wallet.apk, SHA256 + RSA, 4096-bit RSA key
com.bixin.bixin_android.apk, SHA256 + RSA, 2048-bit RSA key
com.coinomi.wallet.apk, SHA256 + RSA, 4096-bit RSA key
net.walletharcomia.android.apk, SHA256 + RSA, 4096-bit RSA key
io.muun.apollo.apk, SHA256 + RSA, 2048-bit RSA key
com.bitazza.android.apk, SHA256 + RSA, 2048-bit RSA key
capital.spatium.wallet.apk, SHA256 + RSA, 4096-bit RSA key
com.oracle.wallet.apk, SHA256 + RSA, 4096-bit RSA key
co.edgesecure.app.apk, SHA256 + RSA, 2048-bit RSA key
com.hagglex.hagglex.apk, SHA256 + RSA, 4096-bit RSA key
com.bitpapa.apk, SHA256 + RSA, 4096-bit RSA key
io.hexawallet.hexa.apk, SHA256 + RSA, 4096-bit RSA key
kuna.beta.apk, SHA256 + RSA, 4096-bit RSA key
com.callsfreecalls.android.apk, SHA1 + RSA (weak), 1024-bit RSA key (weak)
vip.mytokenpocket.apk, SHA256 + RSA, 2048-bit RSA key
com.beecrypt.beecrypthd.apk, SHA256 + RSA, 2048-bit RSA key
im.token.app99.apk, SHA256 + RSA, 2048-bit RSA key
com.incognito.wallet.apk, SHA256 + RSA, 2048-bit RSA key
com.youhodler.youhodler.apk, SHA256 + RSA, 4096-bit RSA key
com.neobitcoin.wallet.apk, SHA256 + RSA, 2048-bit RSA key
com.bitcoin.mwallet.apk, SHA256 + RSA, 4096-bit RSA key
cobo.wallet.apk, SHA256 + RSA, 4096-bit RSA key
com.kubi.kucoin.apk, SHA256 + RSA, 4096-bit RSA key
com.coinhako.apk, SHA256 + RSA, 2048-bit RSA key
im.token.app.apk, SHA256 + RSA, 2048-bit RSA key
com.plutus.wallet.apk, SHA256 + RSA, 2048-bit RSA key
com.medishares.android.apk, SHA256 + RSA, 4096-bit RSA key
com.trusteewallet.apk, SHA256 + RSA, 4096-bit RSA key
com.ezdefi.apk, SHA256 + RSA, 4096-bit RSA key
com.crypterium.apk, SHA256 + RSA, 2048-bit RSA key
co.bacoor.android.hbwallet.apk, SHA256 + RSA, 4096-bit RSA key
