----Unknown Level Permission--------
com.escrowspace.permission.C2D\_MESSAGE & 1 (0.2\%)\\ 
com.example.permission.MAPS\_RECEIVE & 1 (0.2\%)\\ 
MeDiaStore.Images.Media.EXTERNAL\_CONTENT\_URI & 1 (0.2\%)\\ 
com.fox.one.permission.C2D\_MESSAGE & 1 (0.2\%)\\ 
com.fox.one.permission.MIPUSH\_RECEIVE & 1 (0.2\%)\\ 
com.g3shanappz.claimerbox.permission.C2D\_MESSAGE & 1 (0.2\%)\\ 
com.google.android.c2dm.permission.REGISTER & 1 (0.2\%)\\ 
com.google.android.finsky.permission.BIND\_GET\_INSTALL\_REFERRER\_SERVICECopy & 1 (0.2\%)\\ 
com.google.android.providers.gsf.permission.WRITE\_GSERVICES & 1 (0.2\%)\\ 
com.hconline.iso.permission.MIPUSH\_RECEIVE & 1 (0.2\%)\\ 
com.holacoins.wallet.permission.C2D\_MESSAGE & 1 (0.2\%)\\ 
com.hotbtc.exchange.permission.C2D\_MESSAGE & 1 (0.2\%)\\ 
com.iMe.android.permission.MAPS\_RECEIVE & 1 (0.2\%)\\ 
com.cog.Dropinn.googlemaps.permission.MAPS\_RECEIVE & 1 (0.2\%)\\ 
com.cobinhood.exchange.permission.C2D\_MESSAGE & 1 (0.2\%)\\ 
com.ccwalletapp.permission.C2D\_MESSAGE & 1 (0.2\%)\\ 
com.bitkub.permission.C2D\_MESSAGE & 1 (0.2\%)\\ 
com.binance.dev.permission.MIPUSH\_RECEIVE & 1 (0.2\%)\\ 
com.binance.dev.permission.PROCESS\_PUSH\_MSG & 1 (0.2\%)\\ 
com.binance.dev.permission.PUSH\_PROVIDER & 1 (0.2\%)\\ 
com.binance.dev.push.permission.MESSAGE & 1 (0.2\%)\\ 
com.bitcoin.wallet.cryptopuce.permission.C2D\_MESSAGE & 1 (0.2\%)\\ 
com.bitcoinindia.Btciapp.permission.C2D\_MESSAGE & 1 (0.2\%)\\ 
com.bitcoinindia.Btciapp.permission.RECEIVE\_ADM\_MESSAGE & 1 (0.2\%)\\ 
com.bitexuae.permission.C2D\_MESSAGE & 1 (0.2\%)\\ 
com.bitmart.bitmarket.permission.MIPUSH\_RECEIVE & 1 (0.2\%)\\ 
com.buyucoinApp.buyucoin.permission.C2D\_MESSAGE & 1 (0.2\%)\\ 
com.bitpapa.permission.C2D\_MESSAGE & 1 (0.2\%)\\ 
com.bixin.bixin\_android.permission.JPUSH\_MESSAGE & 1 (0.2\%)\\ 
com.bixin.bixin\_android.permission.MIPUSH\_RECEIVE & 1 (0.2\%)\\ 
com.btcc.mobi.permission.JPUSH\_MESSAGE & 1 (0.2\%)\\ 
com.btcc.mobiwallet.permission.JPUSH\_MESSAGE & 1 (0.2\%)\\ 
com.btuprotocol.btu\_wallet.permission.C2D\_MESSAGE & 1 (0.2\%)\\ 
com.burency.app.permission.PROCESS\_PUSH\_MSG & 1 (0.2\%)\\ 
com.burency.app.permission.PUSH\_PROVIDER & 1 (0.2\%)\\ 
zayhu.permission.ACCESS\_SVC & 1 (0.2\%)\\ 
------------------------------------------------------ 
