app_id,N/A,customized,dangerous,normal,signature
com.quidax.app,1.0,21.0,12.0,11.0,6.0
com.quppy,,6.0,5.0,5.0,1.0
com.raido_wallet,,,4.0,4.0,1.0
com.remint.app,,3.0,,6.0,1.0
com.remitano.remitano,,6.0,10.0,9.0,3.0
com.ripio.android,,19.0,4.0,10.0,4.0
com.saltlending.mobile,,6.0,3.0,8.0,2.0
com.savl,,19.0,5.0,8.0,3.0
com.sculptech.dtrax,,23.0,7.0,6.0,3.0
com.sencoinex.android,,3.0,3.0,5.0,1.0
com.shapeshift.droid_shapeshift,,19.0,9.0,9.0,7.0
com.signkeys.wallet.portfolio,,6.0,5.0,5.0,1.0
com.silenca.amlsafe,,17.0,3.0,9.0,3.0
com.silvercoinvaluerpro,,4.0,3.0,5.0,1.0
com.simple.crypto.wallet,,,,3.0,
com.sixpencer.simplework,1.0,2.0,4.0,9.0,3.0
com.sixwallet,,17.0,5.0,5.0,4.0
com.skycoin.wallet,,,1.0,1.0,
com.skyewallet.skye_wallet,,1.0,3.0,3.0,1.0
com.sparkpoint,,20.0,3.0,6.0,4.0
com.spot.spot,,5.0,3.0,7.0,2.0
com.stasis.stasiswallet,,3.0,3.0,5.0,1.0
com.stocksexchange.android,,3.0,1.0,7.0,1.0
com.studentcoin,,18.0,3.0,5.0,3.0
com.supremexchange,,1.0,2.0,3.0,1.0
com.t7.wether,,3.0,2.0,4.0,1.0
com.theblockchain.coinus.wallet,,5.0,3.0,7.0,1.0
com.thinkdevs.cryptomarket,,5.0,3.0,6.0,1.0
com.titan.coin,,3.0,3.0,5.0,1.0
com.top1.group.international.android,3.0,7.0,6.0,8.0,3.0
com.trusteewallet,,18.0,3.0,8.0,3.0
com.valr.app,,3.0,2.0,8.0,1.0
com.viabtc.pool,2.0,6.0,5.0,5.0,2.0
com.vidulumwallet.app,,,1.0,3.0,
com.visionwallet.app,,,,1.0,
com.wallet.crypto.trustapp,,6.0,3.0,7.0,2.0
com.wallet.ela,,,1.0,2.0,
com.whitebit.android,,3.0,5.0,10.0,2.0
com.wirex,,5.0,8.0,8.0,1.0
com.wrx.wazirx,,5.0,4.0,7.0,3.0
com.wswap.wallet,,2.0,4.0,6.0,2.0
com.xbond.exchange,,3.0,4.0,5.0,1.0
com.xcoex.mobile,,6.0,8.0,7.0,1.0
com.xufagroup.cryptowallet,,4.0,5.0,5.0,2.0
com.yamishibai.easycryptowallet123,,,1.0,2.0,
com.youhodler.youhodler,,18.0,6.0,10.0,5.0
com.zelcash.zelcore,,14.0,2.0,4.0,2.0
com.zenafinance,,,,1.0,
com.zengo.wallet,,19.0,8.0,9.0,4.0
com.zipwallet.app,,12.0,7.0,10.0,1.0
com.zixipay.wallet,,,3.0,2.0,
crypto.cc.atc,,4.0,3.0,3.0,
crypto.stars.wallet,,,1.0,1.0,
crypto.wallet.chainapp,,1.0,2.0,7.0,2.0
de.fuf.bitbucks,,17.0,6.0,7.0,3.0
de.langerhans.wallet,,,1.0,8.0,1.0
de.schildbach.wallet,,,1.0,8.0,1.0
de.schildbach.wallet.goldcoin,,,2.0,8.0,
doge.org.freewallet.app,,22.0,4.0,6.0,3.0
eos.org.freewallet.app,,22.0,4.0,6.0,3.0
eth.org.freewallet.app,,22.0,4.0,6.0,3.0
etherio.wallet.com,,3.0,4.0,6.0,2.0
everex.transfer,,13.0,3.0,4.0,1.0
exchange.einstein.mobile.release,,5.0,4.0,6.0,1.0
finance.earna.app,,3.0,1.0,6.0,1.0
fio.ecoin.wallet,,4.0,1.0,7.0,1.0
fr.acinq.phoenix.mainnet,,2.0,2.0,8.0,1.0
gbbit.app.wallet,1.0,3.0,6.0,8.0,1.0
global.bithumb.android,3.0,11.0,4.0,9.0,2.0
hodl.group.xrpio,,17.0,2.0,5.0,3.0
i.brains.pandax,,3.0,4.0,8.0,1.0
im.status.ethereum,,3.0,5.0,9.0,
im.token.app,2.0,7.0,7.0,12.0,4.0
im.token.app99,2.0,5.0,8.0,12.0,3.0
im.yitoken.app.g2,,,3.0,7.0,1.0
