,app_id,customized,dangerous,normal,signature,unknown
188,com.fluttercoin.androidwallet,,,1.0,,
189,com.fox.one,6.0,6.0,11.0,3.0,1.0
190,com.friendst.strangr,4.0,1.0,6.0,2.0,
191,com.g3shanappz.claimerbox,22.0,8.0,8.0,1.0,
192,com.gemini.android.app,22.0,6.0,9.0,4.0,
193,com.getchange.wallet.cordova,3.0,5.0,8.0,3.0,1.0
194,com.giottus.giottus_mobile,5.0,4.0,9.0,1.0,
195,com.greenaddress.greenbits_android_wallet,,3.0,5.0,,
196,com.hagglex.hagglex,3.0,4.0,6.0,1.0,
197,com.hamrasta.hwallet,3.0,1.0,3.0,1.0,
198,com.hconline.iso,7.0,8.0,12.0,1.0,4.0
199,com.holacoins.wallet,20.0,2.0,5.0,1.0,
200,com.hotbtc.exchange,15.0,12.0,10.0,5.0,1.0
201,com.iMe.android,26.0,14.0,17.0,6.0,1.0
202,com.idbtec.otppaycrypto,4.0,7.0,4.0,1.0,1.0
203,com.incognito.wallet,20.0,6.0,12.0,1.0,
204,com.inigma.wallet,,3.0,2.0,1.0,
205,com.instantcoins,3.0,1.0,4.0,1.0,
206,com.ixx_android,2.0,7.0,6.0,2.0,3.0
207,com.jex.trade,3.0,10.0,7.0,2.0,3.0
208,com.kesemwalletapp,4.0,7.0,7.0,2.0,
209,com.kinesis.kinesisapp,4.0,5.0,7.0,1.0,
210,com.kipcoinProject.kipcoinwallet,1.0,3.0,4.0,,
211,com.koinkoin,4.0,,3.0,1.0,
212,com.koinstrap.koinstrap,16.0,2.0,7.0,2.0,
213,com.kr.iotrust.dcent.wallet,4.0,3.0,9.0,2.0,1.0
214,com.krypto,4.0,6.0,4.0,4.0,1.0
215,com.kubi.kucoin,27.0,6.0,11.0,6.0,3.0
216,com.latoken.wallet,5.0,5.0,9.0,1.0,
217,com.leadwallet.io,1.0,3.0,3.0,1.0,
218,com.legendwd.hyperpayW,32.0,10.0,14.0,4.0,3.0
219,com.liberty.jaxx,19.0,3.0,5.0,1.0,
220,com.lightning.walletapp,,2.0,6.0,,
221,com.lingxi.bexplus,23.0,4.0,6.0,2.0,1.0
222,com.litecoinplus.androidwallet,,,1.0,,
223,com.lkrcoin.wallet,,3.0,7.0,,
224,com.loafwallet,2.0,5.0,8.0,3.0,
225,com.lobstr.client,4.0,9.0,9.0,2.0,
226,com.lumicollect.android,3.0,2.0,6.0,1.0,
227,com.lumiwallet.android,4.0,3.0,6.0,2.0,
228,com.luneswallet,,5.0,2.0,1.0,
229,com.lynengine.beautycryptowallet,4.0,1.0,3.0,1.0,
230,com.magnum.wallet,3.0,4.0,3.0,1.0,
231,com.maicoin.max,7.0,4.0,10.0,4.0,
232,com.masterbitexpress.wallet,,5.0,2.0,,
233,com.matrixport.mark,6.0,9.0,9.0,4.0,2.0
234,com.maxxwallet,4.0,6.0,6.0,3.0,
235,com.medishares.android,7.0,4.0,8.0,3.0,
236,com.mercuryo.app,4.0,7.0,7.0,2.0,
237,com.mexcpro.client,13.0,7.0,16.0,6.0,4.0
238,com.midasprotocol.wallet.android,3.0,3.0,7.0,1.0,
239,com.monederoapp,18.0,1.0,3.0,1.0,
240,com.monnos.android,5.0,4.0,9.0,1.0,1.0
241,com.mtpelerin.bridge,22.0,9.0,13.0,3.0,
242,com.mycelium.wallet,4.0,3.0,7.0,1.0,
243,com.mycontainer,3.0,1.0,7.0,1.0,
244,com.nakitcoins.wallet,,1.0,3.0,,
245,com.neobitcoin.wallet,15.0,12.0,10.0,5.0,1.0
246,com.net_cents.netcents2,19.0,4.0,6.0,,
247,com.newcurrency.coinstrunk.v1,,3.0,3.0,,
248,com.newgo.coincola,7.0,8.0,13.0,2.0,1.0
249,com.nexowallet,21.0,6.0,8.0,2.0,
250,com.ninjacoin,15.0,1.0,8.0,1.0,1.0
251,com.nobillio.coinbaazar,20.0,5.0,5.0,1.0,
252,com.node.coindirect,4.0,2.0,7.0,1.0,
253,com.nova.dax,24.0,5.0,9.0,2.0,
254,com.okinc.okex.gp,16.0,10.0,12.0,3.0,3.0
255,com.oracle.wallet,1.0,1.0,6.0,1.0,
256,com.ownrwallet.wallet,6.0,2.0,9.0,2.0,
257,com.panaeshacapital.pcex,24.0,13.0,11.0,5.0,1.0
258,com.paxful.wallet,4.0,4.0,6.0,1.0,1.0
259,com.paymintlabs.paymint,,2.0,3.0,,
260,com.payperless.wallet,4.0,7.0,7.0,1.0,
261,com.payplux,4.0,4.0,10.0,2.0,1.0
262,com.payscript,,2.0,3.0,,
263,com.paytomat,4.0,5.0,7.0,1.0,1.0
264,com.phemex.app,15.0,4.0,8.0,2.0,
265,com.pint.app,4.0,4.0,5.0,1.0,
266,com.plasmapay.androidapp,2.0,6.0,7.0,2.0,
267,com.plunien.poloniex,3.0,4.0,8.0,1.0,
268,com.plutus.wallet,6.0,9.0,5.0,1.0,1.0
269,com.pointpay.bank,3.0,3.0,7.0,1.0,
270,com.polehin.android,7.0,3.0,9.0,1.0,
271,com.polispay.copay,4.0,7.0,6.0,1.0,
272,com.portto.blocto,22.0,6.0,9.0,1.0,
273,com.prizmbit,3.0,3.0,6.0,1.0,
274,com.profittrading.forcoinbase,4.0,2.0,4.0,1.0,
275,com.ptpwallet,20.0,6.0,5.0,2.0,
276,com.pumapay.pumawallet,4.0,4.0,7.0,1.0,
277,com.qcan.mobile.bitcoin.wallet,4.0,5.0,7.0,1.0,
278,com.qsoft.mybtc,3.0,3.0,4.0,1.0,
279,com.quarkonium.qpocket,15.0,7.0,11.0,1.0,1.0
280,com.qubris.freecryptofaucet,1.0,1.0,3.0,1.0,
281,com.quidax.app,23.0,12.0,11.0,4.0,1.0
282,com.quppy,6.0,5.0,5.0,1.0,
283,com.raido_wallet,,4.0,4.0,1.0,
284,com.remint.app,3.0,,6.0,1.0,
285,com.remitano.remitano,6.0,10.0,9.0,3.0,
286,com.ripio.android,21.0,4.0,10.0,2.0,
287,com.saltlending.mobile,6.0,3.0,8.0,2.0,
288,com.savl,21.0,5.0,8.0,1.0,
289,com.sculptech.dtrax,25.0,7.0,6.0,1.0,
290,com.sencoinex.android,3.0,3.0,5.0,1.0,
291,com.shapeshift.droid_shapeshift,21.0,9.0,9.0,5.0,
292,com.signkeys.wallet.portfolio,6.0,5.0,5.0,1.0,
293,com.silenca.amlsafe,19.0,3.0,9.0,1.0,
294,com.silvercoinvaluerpro,4.0,3.0,5.0,1.0,
295,com.simple.crypto.wallet,,,3.0,,
296,com.sixpencer.simplework,2.0,4.0,9.0,3.0,1.0
297,com.sixwallet,19.0,5.0,5.0,2.0,
298,com.skycoin.wallet,,1.0,1.0,,
299,com.skyewallet.skye_wallet,1.0,3.0,3.0,1.0,
300,com.sparkpoint,22.0,3.0,6.0,2.0,
301,com.spot.spot,5.0,3.0,7.0,2.0,
302,com.stasis.stasiswallet,3.0,3.0,5.0,1.0,
303,com.stocksexchange.android,3.0,1.0,7.0,1.0,
304,com.studentcoin,20.0,3.0,5.0,1.0,
305,com.supremexchange,1.0,2.0,3.0,1.0,
306,com.t7.wether,3.0,2.0,4.0,1.0,
307,com.theblockchain.coinus.wallet,5.0,3.0,7.0,1.0,
308,com.thinkdevs.cryptomarket,5.0,3.0,6.0,1.0,
309,com.titan.coin,3.0,3.0,5.0,1.0,
310,com.top1.group.international.android,7.0,6.0,8.0,3.0,3.0
311,com.trusteewallet,20.0,3.0,8.0,1.0,
312,com.valr.app,3.0,2.0,8.0,1.0,
313,com.viabtc.pool,6.0,5.0,5.0,2.0,2.0
314,com.vidulumwallet.app,,1.0,3.0,,
315,com.visionwallet.app,,,1.0,,
316,com.wallet.crypto.trustapp,6.0,3.0,7.0,2.0,
317,com.wallet.ela,,1.0,2.0,,
318,com.whitebit.android,3.0,5.0,10.0,2.0,
319,com.wirex,5.0,8.0,8.0,1.0,
320,com.wrx.wazirx,5.0,4.0,7.0,3.0,
321,com.wswap.wallet,2.0,4.0,6.0,2.0,
322,com.xbond.exchange,3.0,4.0,5.0,1.0,
323,com.xcoex.mobile,6.0,8.0,7.0,1.0,
324,com.xufagroup.cryptowallet,4.0,5.0,5.0,2.0,
325,com.yamishibai.easycryptowallet123,,1.0,2.0,,
326,com.youhodler.youhodler,20.0,6.0,10.0,3.0,
327,com.zelcash.zelcore,16.0,2.0,4.0,,
328,com.zenafinance,,,1.0,,
329,com.zengo.wallet,21.0,8.0,9.0,2.0,
330,com.zipwallet.app,12.0,7.0,10.0,1.0,
331,com.zixipay.wallet,,3.0,2.0,,
332,crypto.cc.atc,4.0,3.0,3.0,,
333,crypto.stars.wallet,,1.0,1.0,,
334,crypto.wallet.chainapp,1.0,2.0,7.0,2.0,
335,de.fuf.bitbucks,19.0,6.0,7.0,1.0,
336,de.langerhans.wallet,,1.0,8.0,1.0,
337,de.schildbach.wallet,,1.0,8.0,1.0,
338,de.schildbach.wallet.goldcoin,,2.0,8.0,,
339,doge.org.freewallet.app,24.0,4.0,6.0,1.0,
340,eos.org.freewallet.app,24.0,4.0,6.0,1.0,
341,eth.org.freewallet.app,24.0,4.0,6.0,1.0,
342,etherio.wallet.com,3.0,4.0,6.0,2.0,
343,everex.transfer,13.0,3.0,4.0,1.0,
344,exchange.einstein.mobile.release,5.0,4.0,6.0,1.0,
345,finance.earna.app,3.0,1.0,6.0,1.0,
346,fio.ecoin.wallet,4.0,1.0,7.0,1.0,
347,fr.acinq.phoenix.mainnet,2.0,2.0,8.0,1.0,
348,gbbit.app.wallet,3.0,6.0,8.0,1.0,1.0
